,name,lat,long
0,329,41.2227818047105,69.2033830717587
1,291,41.2535134807015,69.3766540071519
2,293,41.2535767207003,69.3772370882162
3,110,41.3043106968805,69.2742389238293
4,147,41.2735905938421,69.2757264072673
5,46,41.3360888490563,69.2181344565989
6,224,41.3446891136991,69.222991079795
7,289,41.2333934768299,69.3386480091851
8,290,41.2344578309119,69.3507308903547
9,49,41.3484089861334,69.35221263264
10,64,41.3113522330135,69.2927568411696
11,125,41.2468378714999,69.3051180273814
12,94,41.2958059357486,69.2834935194058
13,317,41.2188850158291,69.2158758549136
14,211А,41.3475178986922,69.3885197795908
15,207,41.3460868230478,69.3663589717625
16,18,41.3176241324762,69.2978368457612
17,27,41.3403497204107,69.3342721281472
18,35,41.3631752777527,69.3887442817138
19,50,41.3135745111816,69.2826395648537
20,71,41.3231891164093,69.3179045455986
21,112,41.3206106187351,69.3471303018473
22,121,41.3316175757789,69.3718566324597
23,142,41.325921426719,69.3030346999686
24,71А,41.3177377618298,69.3225239945915
25,187,41.3496270151718,69.3424329283272
26,205,41.3578195061929,69.3690777154961
27,208,41.3350434655323,69.3677068152851
28,209,41.3379962909621,69.3734698705394
29,210,41.3586061242664,69.3926010840081
30,263,41.2505521493987,69.3088382167819
31,47,41.2472599682727,69.2985452215079
32,266,41.2475465178973,69.2914209769476
33,211,41.3547127238758,69.3883593724489
34,221,41.3567991558447,69.3643276688283
35,222,41.3240575504713,69.3535985340646
36,223,41.3591406348573,69.3641973052846
37,225,41.3316431311741,69.3278605753193
38,241,41.3268106942886,69.3453953345308
39,248,41.354544384588,69.3821563583597
40,256,41.3476041189323,69.3842904653419
41,275,41.319190387869,69.3551965635782
42,279,41.3422676747031,69.388763396256
43,308,41.338604,69.372721
44,286,41.4127129231348,69.4669982636314
45,54,41.4039180270203,69.457523633745
46,МАФИДУМ,41.3297457984551,69.3375285034487
47,ФФИДУМ,41.3332923640959,69.3039026786483
48,ПМТИДУМ,41.3482871917309,69.3408593651824
49,31,41.2501640169133,69.3074416474628
50,56,41.2771974083856,69.2931299681243
51,60,41.296409145285,69.2783512856023
52,65,41.2847967916369,69.2922914671312
53,83,41.2821419487071,69.275587969813
54,154,41.2685990387424,69.3009467181394
55,158,41.2745737525726,69.2978651518667
56,175,41.2753693672551,69.2898497108557
57,213,41.2429968898149,69.3248063095395
58,214,41.2572307356118,69.3184216495913
59,218,41.2469875478872,69.3141948132125
60,294,41.2816490949599,69.2893504231535
61,328,41.2930822882966,69.2736950707648
62,1,41.3297648408408,69.2298047441114
63,11,41.3398039455059,69.2329673194258
64,15,41.368562693463,69.2012877168138
65,16,41.3728863589591,69.2378536142946
66,22,41.3355633334526,69.2474453424208
67,24,41.3357234972493,69.2323569621858
68,28,41.3445279945433,69.2411881897182
69,29,41.358239984424,69.1841117014405
70,111,41.339238202909,69.2232836942702
71,133,41.3546797975393,69.2382197849522
72,134,41.3685016165403,69.1985765261677
73,146,41.3371414201541,69.2491477240415
74,159,41.346510073665,69.2453061850786
75,159А,41.3409434280421,69.2501717688785
76,165,41.3638417910842,69.2314407066381
77,185,41.3531690771391,69.232848868893
78,191,41.3597651057448,69.2211604531246
79,196,41.3604169146034,69.2193221979938
80,219,41.3695518342134,69.2188138415352
81,233,41.3573635406406,69.2335688736885
82,234,41.3694847311035,69.2087440287616
83,242,41.3691941083985,69.2106381563461
84,243,41.3422670672796,69.2073457799622
85,249,41.3555705320033,69.1915978205507
86,261,41.3530073827555,69.1847878334018
87,278,41.3660489551339,69.1915525387461
88,298,41.3324911983822,69.2237615719826
89,315,41.3842628951191,69.220044278674
90,326,41.3556950918818,69.2164980823082
91,6,41.2099186084728,69.2241631936046
92,7,41.2126904223818,69.2334762242708
93,55,41.228472,69.209399
94,68,41.2109219662711,69.2323277474397
95,76,41.2320510141023,69.2011954483593
